Ref,Val,Package,PosX,PosY,Rot,Side
"H5","HPR_Logo","HPR_Logo",-152.577800,-98.526600,180.000000,bottom
"H6","Liaka_Text","Liaka_Text",-173.910800,-88.403200,180.000000,bottom
"IC1","XTSD04GLGEAG","SON127P800X600X95-8N",-149.834600,-84.937600,180.000000,bottom
"J7","THD2528-11SD-GF","THD252811SDGF",-200.034000,-90.031570,-90.000000,bottom
"Q3","Si2301CDS","SOT-23",-119.380000,-88.900000,180.000000,bottom
"SW1","SW_SPDT","SSSS811101",-108.966000,-89.255600,90.000000,bottom
"U2","MS561101BA03-50","MS561101BA03-50",-136.072800,-86.918800,180.000000,bottom
"U4","RFM95W-915S2","HOPERF_RFM9XW_SMD",-173.126400,-99.618800,180.000000,bottom
"U5","LM393","LM393DR2G",-120.954800,-84.531200,180.000000,bottom
"U6","ADR5040ARTZ-2.048","Analog_Devices-ADR5040ARTZ-REEL7-Level_C",-123.037600,-88.950800,180.000000,bottom
